ReviewStar,
"Bought it at â‚_999 during sale.Probably the best at its price, boAt never upsets you with their product.After full charge continuous music can be played for 7-7.5 hours.Been 4months and no issues, just a great product.",5
"My Bluetooth device is not properly working there is some connectivity issues first the device is normally connet to my phone than after some time this was disconnected suddenly without any reasonPlz fix it otherwise gime me anyone some tips for how to fix this problem",1
"Sound quality is good only if it worked for a longer period of time. Stopped working exactly after a month!!Can't even return it, so basically stuck with a semi working piece.Not recommended!",1
"Don't buy this product it's. It stop working in 1 month and it look is very cheap when u put this bluetooth on ur neck. On more thing which I don't like it's sound quality.sound is loud but it's not working as Dolby and it's surrounding sound is very poor.",2
"Do like the battery backup and the sound quality, for the price you pay you get a lot of earphone here. The design is quite good and you wouldn't notice it when wearing a t shirt. You do notice it while wearing a collared shirt but it's negligible at best.",4
"This is an amazing product. Delivered by Amazon within 12 hours with ""Morning delivery."" A small safety concern that whenever you are using the earphones, the surrounding sound is not audible at all, even if the volume is low. So use it carefully, stay safe and enjoy the product.",5
"Bought in October 2018, sending for replacement third time. These earphones have more time with boat for replacement than with me . Let's hope they don't replace it time with another faulty headset, Mike stops working,loses charge ,so basically it's a dud headset and a dud brand.",1
"As mentioned every thing is as it is except noise cancellation. Outside noise irritates to the listener so much. Rest is very good.",4
"The product is all in one like headphones with mic the rubber is very soft as expected and regarding sound the bass is perfect. And Amazon service is class apart",5
"Battery discard very fast. 3 hrs on full charge.When you riding bike collar band fly away.Thought it's is wireless headphones but the wire from the collar band to ear buds are too big.",3
"Excellent product and quality. But only drawback is that the distance covered is only 3 feet...that's quite disappointing !!!",5
"Good one. Not that great & not at all bad. Sound quality can still be better. Needs more volume.The battery is good. I dont think it lasts as long as its mentioned in the description. But fine. It stays up long enough. Once its at 40%, it falls to W",3
"Betterty life indicator us not accurate. When it reaches 60% within half and hour you get a bettery low notification. Rest all are perfect at the price.",4
"Everything is impressive about this product ..... just be aware of the seller.Bcz I have faced issues while checking out with this product.",5
"It works only when it is charging mode and when after 2 hours we remove the charger it stop working as power is off automatically and even after several attempts it is unable to on. It seems like a faulty headset.",2
"Excellent product.I use these more than Mivi CollarPlayback time: 6 hrsBass: you won't be disappointed. Thumping bassMids and trebble is above averageNoise isolation is really goodThese offer superior quality for the price you pay",5
"The battery life is poor. Battery shows as remaining 60% and immediately discharges then.People on the other end of call are not able to hear my voice properly.",5
"I have received this yesterday as free gift with Huwai y9 mobile.The bass is good and pumped up but it fails to sooth ones ear for low music. the proce of 2990 which supposed to be the MRP is over hyped. it would be of the 1000INR range.",3
"I got a damaged product on my first delivery then on exchange within 2-3 weeks i am having connectivity issue,  also the voice quality is not as such,  I'm not impressed by the product and it's not buying worth it,  and if there would be a return option i would have gone for it",2
"sound quality is apt with all the right blend of bass n tremble sound is equally clear. battery life is easily 6hr plus in terms continuous and relentless uses of media n can go upto 7 hr or more when listening only to music. product quality is also gud.",5
"Earphones are awesome. Sound is good and above all they are giving up 5-6 hours of battery backup. Comfortable on the ear. Light weight. Thanks amazon.",5
"while connected with the phone many times its goes to silent automatically. even sometimes didn't ring while phone need to be ring....also its panic think for ear.... worst product yaaaar",1
"What I like about this is its lightweight. Comfortable in ear. It's range working perfectly in 20 metres.Now what I think is weak part of the product is sound quality although it is good but not upto the wired one from boat. Also battery life is above average.",4
"Im writing the review after using 5monthsSound Quality was good and battery backup also fine but when i used after 5months suddenly its stopped workingi bought 1900bucks its not worthyGuys go for another one , We cant spend 1900bucks for just 5months of usage",1
"Battery life is good but little bit sound quality is low as base and but good for all functions..",4
"It is available as described in the listing. Quality of the material is good and sound quality also good.",5
"Product is good . Need some improvement in earbud . Also lenght of cable need to be reduce.seem bulky",3
"Sound quality and noise cancellation ok. Battery is pathetic. Drains within an hour of use. Indicator suddenly drops from 90% to 5% in few minutes and then it shuts down. Not used even for a week. What a waste!!",1
"Its just fine... Songs will not pause n it'll not go into battery saving mode =>when earbuds are in touched with each other by magnet(if it is happening with me plz lemme know so i can exchange it) ..audio n call quality is ok.. Good for music lovers.. No connectivity issue..",3
"Best product in this price range and thanks to Amazon for fast and safe delivery of the product sound is superb and I got it in Amazon great Indian sale at rs999plus one day delivery at rs 100 thanks to for providing such a nice deal_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç_Ÿ˜ç",5
"build quality, comfort and connectivity is good.. calling is ok.. but sound quality is just disappointing in this price.. feels like 200 rs headphone.. can't play game with this. u ll be confused from which side enemy is coming or shooting..",2
"Pesa wasool product...  Good Quality with flexible neck band...After 2 month one side ear phone is not working.. And I Went to the service center and in 5 minutes, they got a new Boat 255 ear phone. I was shockt it's a very good service..  Buy it",4
"but the  headphones wearing full of pain and please the solve the problem Sound quality is excellent but colours is better (BLACK,RED,NEON LIME ALSO DIFFERENT COLOURS IS SUPPLY TO THE CUSTOMERS ) and battery life up to level minimum play timer 10 hours",1
"First of all the design is good and premium. Sound quality is superb including extra bass while watching videos on YouTube. And noise cancelling is better for this price.",4
"This product is 1st copy because boat rockerz earphone whenever start its sound like boat roakerz 255 but this ear phone doesn't sound like that and bluetooth name also boat rockerz not shows code n the sounds is very low not acceptable from amazon how s like uh sale 1st copy",1
"Not a fake or paid review as you can see for various earphonesThese are the best budget earphones you can find. Everything is top notch and deliver much much more than expected price range.Been a boat customer for more than 3 years now and satisfied as well.",5
"Product's quality is awesome but not durable at all my right side earphone stopped working in just 2 months and i just wanna say dont buy this shit product. Dont go to review of others because they wrote it in just some days use but am reviewing it after proper 2 months use.",1
"Sound Quality is good,Bass is not like what u get in Extra Bass Head in ear headphone but solves the purpose.Battery life is good but battery percentage shows incorrectly.Durability i feel the headphone Wire length is more little less would do no harm.",4
"Noise issuesSound disruptionSometimes delay soundMike doesn't even work wellNot worthy for money",1
"battery life is upto 5hrs to 6 hrs  and automatically disconnects and dosnot connet back until turn off power and turn on",3
"Got the product just 2 days back. Bluetooth connection is very bad. Connected the earphone to my smartphone. At distance of just 1 feet, Bluetooth connection is getting lost every 2-3 minutes. I want refund/replacement.",1
"It's good for exceptional listening experience ..only drawback is it's ear buds does not stick..keep coming out while doing heavy work out...",3
"Best sound quality, better than some Sony headphoes. but noise cancellation is very poor.Could not be use Bike ride, because that much of poor noise cancellation. Otherwise sound quality and connectivity is Very good. battery life is ok. 6 hrs.",4
"Overall build quality is good. But, the length of the cables are bit longer and not very comfortable. Bass is good, but treble is less prominent. Battery backup is excellent.",4
"I just receieved it yesterday.  The 1st thing I felt after opening was, the wire is too lengthy and it looks bit awkward. And there are no spare hooks like spare buds.",4
"Outstanding performance, very Good bass, and cristal clear sound... Bass lovers can enjoy it.... Lite weight... But only one dislike you can't put this earphones when you Ware helmet,  it will heart your ears.... Otherwise it is super good earphones under budget..",5
"The product is pretty good for the price. It is perfect for all the gyming and running. However, I had to place a return order within a week since the product would automatically switch off when the battery is still 60 percent. Hope the replacement doesn't have this issue.",3
"It a amazing Bluetooth head, boat has really taken over the market. Good sound quality n bass effect is also nice. Only disadvantage is you can't change the songs or video from headphone itself, it doesn't have forward or backward button in it. Else it a go for it headset.",3
"Built Quality is Very Good. When i was on bike suddenly they fell down on highway.A Car in that way went on it and Still They Work Well and Good as Before And It didn't get any damage outside",5
"I am using this product from last 1 year and ordered atleast 5 for my friends...Battery backup is amazing and sound quality is best..",5
"Sound is good you can use it for workout purpose, however noise cancellation does not work proper the person with whom you are talking will hear lot of sound.",4
"Product is really nice n very good battery life n decent sound output. But not value for money.Left side earpeace got dead in just 8months of usage. Very uncertain about boats earphones durability",3
"The sound quality was really good when I first bought it...but later...left side stopped working..cud here only on right side...that too its not even 1 month since I bought it",1
"It's a good Bluetooth headphones in its price range. Built quality is amazing and so as sound quality. The battery backup is amazing.",5
"Sound loudness is ok, clarity is also ok but not the best at this price range, Bluetooth reception and connectivity is very smooth and connects easily with any device. Earbuds are fitting into ear properly. Good for daily usage",3
"Love it soooo good batter ......awsome soung Quality ..bass feel superior punch at high level ......... 5 hours battery continous using in full volume media",4
"Bass 9/10Vocal 8/10Comfort 9/10Bluetooth connectivity 10/10Battery Backup 10/10 Over all great product. _Ÿ‘çP.S Sometimes it won't work properly on calls.",5
"Good one... For audio video ... 5-6 hours battery life",4
"Build quality is just amzing.Before boat earphone i use samsung level u which have no bass at all worst product from samsung therefore i switch to boat earphone which cost me of rs.1499 sound quality is supreb also 1 year warranty.BUY IT YOU WON'T REGRET !!!!",5
"Bass is too good with awesome build quality.Battery life is almost 5 hours plus I am using it for gym and it's very good sweat resistant.Overall it's worth product that other in marketPreviously used mivi which is lost his race with boat 255",5
"The sound quality is awesome... But for battery backup... I don't know... After delivery i use it only 30 minutes and left earpeace stop working... I don't know why...",1
"Flexi attachment is not good and disengages for Ear. Poor battery back up. Not worth for the value",3
"Product is good for listening music and watching videos etc...but don't buy this product for any gaming purposes..i used it to play pubg but this disappointed me in game sounds is delayed in this product ... build  quality  is pretty  good Overalls the product is good..",5
"Worst product i have ever seen in my life,  battery backup is worst. Not recommended to any one even its free offered.Guys don't buy any products of Boat.",1
"Good sound, decent baas and good built quality overall Impressive sound quality at such price point.",4
"Really good sound and bass. Comfy even for longer usage. Only small issue is, sound gets blurry at 40 feet and further from your source.",5
"As always boat products are really awesome for this price sound quality and design was really fantastic.",5
"It's fine untill it gives you the problem with charging, i got first one and it malfunctioned it wouldn't charge at all, i got it replaced and 10 days in i again have the same issue with the replaced one. I feel made a wrong choice gifting this to a friend.",1
"previously I bought Boat wired headset and was disappointed. even now the same experience with this.Feeling pain and cant use for long time.Ear buds are waste.Please go for a better and premium one although costs more bucks..Health matters",1
"Excellent quality for what you pay. The charge lasts for a very long time. Just go for it.",5
"This products sound quality is awesome. I bought this product on 13 march 2019 but today suddenly the right earpiece is not working.... As this product is under warranty so i wanted to replace it but I'm not being provided by any replace option in Amazon..",3
"Good product of Boat.Battery life is good and with moderate volume I can use more than 8 hours.Sound quality also good but length of wire should little small to make it good appearance.Bought @900 during sale and I guess it's a good deal.",5
"The Bluetooth connectivity is inconsistent, breaks frequently on movement of the mobile phone or earphone. Very annoying.",2
"Works really well. I have been using it for more than 2 months now. Battery life is good. Sound quality is also good. So good deal at this price. I got this at 999 in amazon sale.",5
"Pretty good product, all the things are fine (given the price) except for noise cancellation.",4
"THE EARPHONES JUST STOPPED WORKING 1 WEEK. AND EVEN AFTER GETTING A REPLACEMENT FROM THE SUPPORT CENTRE AFTER WAITING FOR 25 DAYS, STILL RECEIVED A FAULTY PRODUCT. BAD QUALITY PRODUCTS AND AFTER SALES SERVICE IS EVEN WORSE.",1
"PROS :-Great Battery Backup.Light weight, won't even feel them around the neck.Quick connection to phone.Comfort to ears.Recommendable for gym.CONS :-Poor Packaging.",5
"This bluetooth head set sound was superb but battery backup was very worrest its showing 80% but listing songs for 5 minutes its turning off and again not turn on, after 2 hrs charging its turn on.... My experience is battry back up was worrest",4
"I really liked it. The battery backup is good. The noice cancellation, the speaker volume and clarity are awsome. One problem that i am facing is the mic is not good. At times the opposite persons cant able to hear the voice clearly.",4
"20 days after buying the rockers, ear bud with the attached piece broke without having to make it fall or use it roughly. Window to return it back is closed as well. Be careful when ordering.Other than the poor quality build, ear phones are alright.",1
"Great...Best part is ..you can connect it with 2 devices ....so I can pick up the call on phone while watching movie on laptop..",5
"Received a defective piece initially, got it replaced.  The new ones work just fine.",3
"The build quality looks average and its a good earphone in this price, If anyone is looking for earphone in this budget and waste time for searching another product u can buy it.",5
"Sound quality is not up to the markBASS is very highSevere ear pain after using it for more than 1 hour.Battery life is OK",2
"Sweet surprise that this beautiful earphones pack such a great audio as well as bass. The Bluetooth connects in a second with my phone and never had any issues so far. I've spent a lot of money on earphones, never had such a great experience for the price I've paid.",5
"Low battery!Not working after soft use of 4 months.1st  one side ear phone started not working and now the other side.I want to replace this as this is in warranty period. OR I want my money back.",1
"This is a good & budget product. The only problem with this earphone is battery indication in connected device. It shows 100% although it is almost drained out. The earphone prompt when it is about drain & can be used for 20-30 mins",4
"One of the best products purchased from Amazon. Got it at 999 and tend the sound is gr8.",5
"Sound no chance to compromise but _Ÿ”‹ battery recharge is little uncomfortable 5hr only coming little uncomfortable and not ergonomic Friendly....",3
"It bought it 6 months back during Amazon sale for RS: 899, it's a very good product. I use it everyday and I have not faced any issue till now . The battery is surprising very good . You can't use this while exercising ! It will keep falling of the ears.",5
"These are the best Bluetooth earphones in budget of 1500/-. The bass is super good, the noise cancellation is good. The only problem is with the length of the earphones. They are too long to keep. If a good case is also provided by Amazon will be better.",5
"If u are looking for decent thing under 2k go for them, but there is nill noise cancelation. Sometimes the noise is more than the person talking.",3
"Good sound quality, initially I thought wired earphones I loved the sound quality  and purchased it's working perfec",5
"I bought for workout purpose. but it is not actually use. When you try to jump or running , it sometimes remove from ear. Sound quality is very good. Battery backup is average. Full charge will take upto 4-5 hours longer.",4
"Hopeless headset... They say that it's sweat proof but I'm facing problem from few days because of it. I'm having problem switching on the headset. The mic is not working. Reduces or increases volume on its own. Bluetooth range is not so good",1
"Got this as a freebie with Huawei Y9 , was amazed to hear a decent sound( Yes not as great as my  Skullcandy Crusher wireless) from this device. for a normal day to day use, its quite a best one in this price range. Definitely a must try one.",4
"The sound quality of the earphones is very bad. There is a constant ""hissing"" sound in the earphones (white noise or static). Returned the product,got the replacement but the replacement also had the same issue. Hence figured out that the product is like this only.",1
"Hey guys, if u want a simple yet comprehensive BT earphone then surely i would suggest it, its built quality ia far more superior as compared to its counterparts. Also its sound quality is very much appreciable.",4
"Sound quality is ok but battery life is worst... within one month it has stopped working... no reaponse from boat too... lost my money... plz save urs",1
"Using it for working out. Sound quality is good, sweat has not affected the performance.",5
"Firstly I'm not very confident about purchasing this product by seeing negative review, but I've used boat bassheads 225 and boat rockers 400 and they were awesome at their prices l range! These earphones  as of now working flawlessly and I'm satisfied with them .",5
"it's only been a month an already has charging issues. I have been using only the cable that came with it but still no charge. Very disappointed!!!! Not charging at all now!",2
"I got a already opened package. The product is working fine now, if not I would have replaced it. I don't when it would fail to work also. I am not  paying the full price for already used products Amazon. You should know that. Look at the pictures it's old product",4
"I have been using this product since 6months and i  faced not even a single issue but one day my one side of earphones stopped working i claimed the warranty and the boat support team was quite supportive. I must say go for it_Ÿ‘ç_Ÿè»",4
"Really good quality speakers. The only downside is the 6 hour battery life. Apart from that it is a solid purchase",5
"2 StarNoise clear it was not to good, I was not happy with this production, I am unable to listen the sound. its too low, can you replace the item, it will be good for me. please reach out to following number. 9972517557 Mahesh Kumar M",2
"Everything is good apart from longetivity of usage. Maximum I can use 5hrs with full charge.",5
"Overall... This is an very bad product... Just 1 month... One side of the earphone is not working.... Its surely one useless product guys... Dont buy it.... Go for other earphones other than boat - _-",1
"On full volume, high bass is a bit distorted but rest in this range, it's an amazing product. Bluetooth range is awesome. I can put this on keep my phone in one corner in the gym and move all around.",4
"It's a awesome product. Value for money. Total comfort after 2 hrs wearing it. High bass.",5
"Very good product,if u hav 1.5k go for itGud at battery, bass,durability,built qualityI hav used many Bluetooth earphones but this one is very gud",5
"Battery died in 2 and a half months. One day it just stopped charging. I'm not certain they replace or repair even!",2
"Sound quality is excellent for the price.battery life is as stated.it will prove best buy  for people on move.phone calls are flawless.sometimes I f mobile is moving ,sound flickers",4
"Strong bass and overall good soung quality, I would say much better than some Skullcandy and JBL models. Justifies its price aptly.Although it gives a playback time of good 6-7 hrs, I feel it could just have been a little better had it been around >10 hrs.",4
"After using it for more than a couple of months I would say itâ€™s decent. Donâ€™t expect an exceptional sound quality with this one. However something I didnâ€™t expect was a good noise cancellation for an in ear headphone.",4
"Within 6 months from purchase both the speakers of headphone stopped working. The provided customer service is very bad, they are not even attending the phone call, and taking much time to respond after complain lunched. Don't think product is worth of its money",1
"The look is great. Sound is average but ergonomics sucks. Needs to be improved.",3
"The sound quality is not upto the mark. If you watch a movie...The sound start getting distorted after 40-45 mins. Then u need to disconnect and connect again. This is painful. Battery backup is very limited.",1
"Awesome product. Bass amd mixture of treble is perfect . Sweat proof and the best part is that they plug into ur ear well. Thank You boat",5
"Pls guys do not purchase it....i have taken in jan 2019 now its not working properly within 4 months....when it is connected to mobile we cannot receive the call n if reveived then other person cannot hear our voice....not at all satisfied with the product.....",1
"Product packing was received in bad quality. Multiple cracks were detected on the outer packing. Product was also not charged.  Felt like the product is used one.  Hence,  ordered for replacement. Also,  connectivity with laptop is not good.#Not satisfied",2
"Bought 2 headphones.. 1 was having connectivity issue n i got it replaced.. And now the replace one got damaged easily... And the other headfone s still working fine but dono for how long.. It was better to go for some other good brands..",3
"Sound nice and battery life is good. Base is awesome but have some noise on high volume otherwise good.",4
"Excellent sound output.. no call drops, no disturbance.. battery backup is also great.. ( 6 hrs continuous playing) Bass is too good. Totally Great product from boAt.",5
"As per m boat lover.....boat is simply amazing.. everything is good.noise cancelation.sound quality. comfortable in ear .. outstanding performance.and spekar also works perfectly while talking on phone..thanks Amazon.",5
"I love the earphone. Helps me to listen to music and e-books while commuting, with my phone safely in my bag. The sound quality is fantastic.",5
"Voice quality is bad, not able to hear recipient clearly not music files are coming out clear... voice levels are very low and poor... noise cancellation doesn't work",1
"The device that I had received is not good at connecting to the already paid devices... Must be a defective piece, otherwise it works fine",1
"After few days of usage,I felt like boat is best for the price range they are giving.Audio qulaity & clarity is good.Bass also nice.Charge also stays for long.",4
"When I ordered for the first time it was a very bad experience. Opened, used and dusty.The return and replace when happened, I was finally happy. Sound is good, noise cancellation is fine too.",4
"There is so much connectivity issues, whenever i drive the bike when using it, so much distrotion happen with lots of noise, it happen after return window closed so can't be able to replace, i already replaced one time and in 2nd order it's happening the same.",1
"From last one week left side is not working I tried to ask for the repair they said once product sold we can not do anything you need to visit the near by service station, am at gurugram hariyana, no service station here this is very bad",3
"Writing review after using for 1 monthAwesome BT earphone at this price... Battery back up is around 5 to 6 hours.. But once the battery% comes to 20 % it hardly stays for 5 mins..... That's the only cons....Over all 8/10....",4
"Best hai I having Mi sports too and even i try Tagg Bluetooth too but this one i found best among these range.Base sound dono best hai.Mi sports m base nhi hai bus and helmet k andar nhi pahen skte.Isliye isey khareeda.",5
"Superb product which will satisfy yours dream about Bluetooth headphones. Awesome music with crystal sound and bass , noise cancellation good, battery life is good, calling voice is good on both end.. can buy with confidence _Ÿ‘ç_Ÿè»_Ÿ‘è_Ÿè»_Ÿ‘è_Ÿè»",5
"Really impressive sound quality, immersive bass and clear even in full volume.",5
"I have purchased it on 4 th of june and it's not even a month old and it's not charging it was even having some issues the volume of it was also not working",1
"The product is good at the price that I bought it for, sound quality is good and a durable product. The stand out thing was the delivery of the product. Thanks Amazon and The dwlivery partner for taking in my request and delivering it even earlier.",4
"bass is nice but voice clarity is 8 out of 10, overall is nice, battery last of 4 hours of continuous use. otherwise it will last for whole day. if u dont like too much bass then its not for u, go for synheizers then",5
"Nice product and  me recommend this product to 5-6 and they all purchased it with happiness.Happy to have and use it.1)Nice voice cancellation2) Nice multifunctional key3) power backup is nice",5
"Very good product for listening to music. Good sound output and battery life. There is no noise cancellation feature in this earphone. Built quality send to be good.",5
"Best wireless I have used...Love the bass",5
"Excellent product by boAt....  Battery life is very good...  Sound quality is excellent...",5
"It creates echo at other hand while talking. Person who is at other hand feels echo. So it is not comfortable conversation for long time.",2
"Sound quality is not that great and coming to Bass the bass is good and quality of the product is good",3
"If you use it only for calls then, battery will lasts for 1 and half day.Listen to music for continually 6-7 hours.Thumbs up for this device.Magnetic Head Phones",5
"First Words :""FAB"". It's a Best buy to feel music .Water resistance is far more than better .Bass will butter ur heads literally .Just ignore the fir of the ear supporters there cuz they fall off at times when we r too harsh in fitting them into our ears _Ÿ˜‚.",5
"A review after an year of usage in which 4 months the product was with the company itself bcz it wasnt charging disconnected the calls automatically and didn't get any battery for more tha. 3 4 hours. Even registered many complaints none got through properly",1
"This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.",1
"Best product ever , nice sound , bass , and most important thing is a battery life run up to 10 hours to listen countinously music",5
"The product is good even the sound quality is good,battery life is average nd the durability is also ok.. But wht i dnt like is the lenght of the wire if thr would be a holder to adjust  the wire it would be far batter..  But any how i like it...",4
"I bought this product about 2 days ago. Then the price was â‚_1499. Currently price is â‚_1999. I have seen some reviews where they bought it for â‚_999 only. So wait for the price to reduce and then buy. Overall the quality is good for the price 1499.",4
"They are just amazing. Earphones are so light I can't feel it but still music is in my ears. Woow amazing product from Boat.Now I own Boat stone speakers, Boat rockers bluetooth headphones 400,and Boat rockers bluetooth earphones too.",5
"The bass effect is very less for a in-ear headphone , battery is good lasts for about 9 - 10 hrs on full charge . Earbuds dosnt fall off easily I use it in the gym regurlarly . Overall sound quality is good . Voice quality over calls is decent .",3
"Its a great buy. I paid 1000 during sale. For this price its just great. There ia nothing ti complain about. Sound bass everything is top grade",5
"Overall a nice purchase.Reviews after a couple of monthsPros : good noise cancelation, durable design, good sound base quality,Cons: over bass, shadows treble, sometimes hurts in ear,",5
"Worst piece from boat. The sound quality is not good. Other side person can hardly hear.",2
"I bought this product about a month back. And started using it from last fifteen days. Suddenly the right earphone stopped working or barely I can hear at full volume level. Only the left earphone the sound and music comes.",1
"This is really awesome product, I am very impressed about the sound quality, deep baas is excellent and outstanding. Thanks to boAt for such an amazing product. Amazon delivery was also very fast. If possible, I could have given more than 5 star _Ÿ‘ç_Ÿ‘ç_Ÿ‘ç_Ÿ‘ç_Ÿ‘ç",5
"The headphone base is simply awseom,but i brought for playing pubg this headset is not good for gameing and the mic is waste  waste of money but thus has the light weight and heavy battry backup",3
"It is a beautiful product, we like the design and the sound quality is superb you feel the hi-fi even at lower volume, nice feelingWe are really satisfied with the product",5
"I buy this on 6th of feb nd it get one sided in 4th of may dnt even last 1 year. I hv warranty foe thia but no one is listening i want yo return it back.",1
"The blootooth connectivity is pathetic. It automatically keeps disconnecting while listening to music. Returned the first order thinking it was a one off fault but the replacement product bis exactly the same.Pathetic!! Please do not buy.",1
"The sound is great... connectivity is good... use just for one day... troubles when u run... the hard band jumps off... for running I wud say use without any hard band..",4
"Product is quite good. I got it at 999 so sound quality is average but not so bad. Battery is awesome but can't guarantee about durability. I already had some bad experiences with BoAt. I will update review after 3 months so that you can better judge.",3
"Good for Listening music and watching videos, noice cancellation is just ok, Call quality is not that great,",4
"Sound quality is best ! Bass in the sound is unexpectionally good. Product is good enough to buy one. Have no problem using it (4-6months using it)",5
"To claim warrantyI want to claim warranty....I ve issue on my wireless bluetooth headset,It was not charging and working from last 4Days",1
"Doesn't really look like whats shown in the pic..  It has a band and not just wire..  The sound quality is just ok but the battery life is too bad..  Doesn't even work for an hour..  Not worth it for 2k... Too disappointed",3
"Pros -1. Sound quality is not bad2. Build quality is goodCons-1. No haptic motor (doesn't viberate on call)2. Battery life is below average3. Design is also not up to the mark as the buds keep hanging all the time",1
"I have only one issues regarding there blutooth connctivity.If i put my I-Pad/Mobile in Back Pocket, connections fluctuate.Amazon services are good nut issues gather the status.After 5 month left Side not in working state.",3
"The sound quality is excellent in comparison to its price and battery life is too good. If used normally its battery stays for nearly 4 to 5 days. So it's good buy the product",5
"I did not expect from this product. Battery is not good. Once I changed full, the duration of battery life is only 2 hours. I have ordered many items from Amazon but this was the first item got which is not good, felt very bad and unsatisfied.",1
"Too good!!I have an iphone8 plus and it works great with it. Before this I had used original iphone earphones and belive me the quality of sound is same!!Good product at this price point. Would totally recommend it!Cheers_Ÿ_Ÿ_Ÿè_",5
"If you want enjoy the music, this is not the earphone to buy.. Sound Quality is very average.. nothing to praise about it.. you can use it as secondary earphone incase if your main earphone has any problems or if you missed to carry with you..",2
"Bought during offer just in 1000 rs.. sound quality is good..how long durable don't know",4
"It is a wonderful product and no compromised in sound quality. This is my first product of boat and really satisfied with this.Plugs are little bit big so this is the only one drawback but doesnt matter infront of its sound quality. Go for it guys.",5
"Wonderful product by boat, but i just have a complaint, i want to replace my earphones. Because suddenly its right plug stopped working. I buyed it on 6 September 2018. From amazon itself. Can you guys help me on this part?? Guide me how to do it please.",5
"Gr8 product I am a music lover so itâ€™s great for me very handy light weight and sound quality is superb gr8noise cancellation deep bass is awesome balance treble and bass effect must buy product battery backup is also gr8 and no connnectivity issue gr8sync",5
"I didn't get the product till now.... disappointed...it was for a  friend who had a train on 24/6/19 . Now he has gone...... product is not useful for me...will return it as soon as i get....! Bad experience...!",1
"Good one ,sound quality good but too long from head side Cary to difficult.",4
"i always have an issue to enjoy music while on my bike rides wearing helmet cnt keep a ear plugs but this perfectly stuffed in",5
"The product is good but some times sound cuts while traveling, so the quality of the sound got affected, battery life is good, those who wants to buy for music should look for another product.",3
"Boat has lot of disturbance while talking on a call and also noise cancellation does not work at all..Ant audio is far better than this. No distrubance at all and also noise cancellation is excellent...Used on bike and during workouts as well",2
"1. Amazing sound quality & dual device connectivity2. Good mic3. Bass is also good4. Charges quickly with mobile adapterDurability - will update later on",5
"Brought this headset after seeing the good review comment online. The Headset was worked fine for a month, after that it stopped working. Same for my other friends as well.  If you are going for jogging then it is not recommended, go for better product.",1
"Very good product with good bass nd good batery back upsound quality decent, built quality is also good",5
"Very good product at this price. Battery lasts for about 5 hours. The only issue is that it doesn't show you the remaining battery, from 100% it goes to 80, and then ""Battery Low"", nothing in between.",4
"A good product, my only disappointment was that it doesn't stop playing music when the ear buds are attached together.The product box is not good, it is difficult to keep it back in product box.",3
"Excellent piece of sound at available price. I bought it at 999/-Sound quality 5starBattery life 5starBouce cancellation 5starBuilt quality 5starOnly issue is while on call, person on other side hear surrounding sound too..",5
"Sound quality is not up to benchmark that brand given, but as i bought it in 1499/- it god product in the range also ready to rough used, build quality too much good, Baas is loud but whispered when full, 3/5 rating",3
"The sound seems just right. The bass is optimum, neither too high nor too low. Great value for money. Battery life could have been better. But at this price, it's a must buy!",4
"Looks good in dual color but Wires are too long which will be pain area!",3
"I m using this earphones for 2 weeks now.Battery last for 2 days with heavy use (4 hours music play daily + few calls)It connects to my Laptop and cell phone simultaneously (switchs automatically for skype calls)Great value for money.",5
"Awesome sound quality and build quality flat cable better than any premium earphonesCan compare equal with Sony.",5
"Product us more worth the prize.. I never give 5 star to any product bit this is realy awesome.",5
"I will say it's ok , not the best around .And please never say in this price it's best , I have seen much better .Well it has not given any complaint as such , but there is a snag in the Bluetooth connection makes weird noises .",3
"Not a very good product... I have used it for quite sometime. Bluetooth disconnects pretty often...The mic picks up surrounding sound rather than the person speaking in the mic..",1
"Durability & sound was excellent as expected but price was bit high according to me..other than price everything was as expected..",5
"Just started using it for less than month.sound quality is good with noice cancellation at best. Yet to notice battery performance.blue tooth initial connectivity with mobile some times takes longer time to sync.",4
"Super product.. I got this with my new phone.. fantastic sound quality with good battery life.. I really like this.",5
"Thanks for the affordable price , i got it for 1100 $Thank You so much Amazon !!5/5 _Ÿ˜ç",5
"Sound contain plane bass. Packaging was damaged .I suspect I didn't get the original one .whatever I got was having slightly good sound quality than earlier i had(â‚_599). Still i m going to buy boat earphones only because of its quality and durability.",3
"Just after 3 months it has got a defect...one earplug is not working though it was kept with utter care...and there is no exchange policy shown here however before ordering it there was guarantee period mentioned...but now nothing is available as much",2
"Good product within the budget. Very useful while driving bike in harsh traffic.",5
"It's just an average headset.. all time you will put and fix in ur ears",3
"Within a month, they stopped workingIt's a waste of money to invest in boat this has happened with me for the second time now",1
"Totally worst..if these are fit to the person according to their ears size and compatibilty what's d use of it...they are not allowing for return these product...if still we wants to order new...pain in the ear dur to ear long sharp blades",1
"The best wireless earphone you can get at this price range. My battery last fir two and a half day on standby mode in moderate calling. And a day in listening music.",5
"In one month one side speaker stop working, seriously I don't know now where to go, if you are spending this amount and what you get behalf of this really unacceptable _Ÿ˜ _Ÿ˜ , too bad , at least Amazon should need to take action against dealer",1
